Individual	Parent1	Parent2	Pedigree
1046251	BL3409A8-D0YN	AG3130	( 1046251 ( BL3409A8-D0YN , AG3130 ) )
1046289	BL3509A9-D0YL	E93109D5-G0YV	( 1046289 ( BL3509A9-D0YL , E93109D5-G0YV ) )
1046317	FN3209D2-B0YN	CS-29R212N	( 1046317 ( FN3209D2-B0YN , CS-29R212N ) )
1046394	BL3409A8-D0YN	AG3130	( 1046394 ( BL3409A8-D0YN , AG3130 ) )
1046642	CP3907A4-D0RN	CP3408A5-D0YN	( 1046642 ( CP3907A4-D0RN , CP3408A5-D0YN ) )
1046750	CEI4606A0X-0004	CP3708D5-A0YN	( 1046750 ( CEI4606A0X-0004 , CP3708D5-A0YN ) )
1046882	GL5007A1-D0RN	GL4008D9-B0YN	( 1046882 ( GL5007A1-D0RN , GL4008D9-B0YN ) )
1064131	AG1832	AW1911F1-B0BAH	( 1064131 ( AG1832 , AW1911F1-B0BAH ) )
1064165	MKZ809A2-B4YN	FL0711D3-D0BAH	( 1064165 ( MKZ809A2-B4YN , FL0711D3-D0BAH ) )
10928	80053	4MP4148-32	( 10928 ( 80053 , 4MP4148-32 ( 82285 , G2436A ) ) )
11-54-132	M10	Capital	( 11-54-132 ( M10 , Capital ) )
1100-07	Forrest	Tracy	( 1100-07 ( Forrest , Tracy ) )
11824	ST1386-23	AG2101	( 11824 ( ST1386-23 , AG2101 ) )
1190-02	Mack	Forrest	( 1190-02 ( Mack , Forrest ) )
1190-19	Mack	Forrest	( 1190-19 ( Mack , Forrest ) )
12102R024	YB23E	ST1570	( 12102R024 ( YB23E ( Archer , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , ST1570 ) )
12223R006	Pioneer_P9007	90733	( 12223R006 ( Pioneer_P9007 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) )
12465	Pioneer_P9132	90733	( 12465 ( Pioneer_P9132 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) )
13007	Asgrow_A3304	90733	( 13007 ( Asgrow_A3304 , 90733 ( Pioneer_P9172 , 90676 ( ST2250 , G40-3P9392 ) ) ) )
132963	CP3678	AG4301	( 132963 ( CP3678 , AG4301 ) )
133515	133220	Pioneer_P93B82	( 133515 ( 133220 , Pioneer_P93B82 ) )
13744	Asgrow_A5959	AGM58702	( 13744 ( Asgrow_A5959 , AGM58702 ) )
149-66	Corsoy	Magna	( 149-66 ( Corsoy , Magna ) )
151167	Asgrow_A3244	AG3201	( 151167 ( Asgrow_A3244 , AG3201 ) )
152167	Asgrow_A3469	AGH36801	( 152167 ( Asgrow_A3469 , AGH36801 ) )
17D	Williams_82	PI_283327	( 17D ( Williams_82 , PI_283327 ) )
1CH244B	Dairyland_DSR304	W20	( 1CH244B ( Dairyland_DSR304 ( Williams , - ) , W20 ) )
1M13-236029	SD06-393	M07-375020	( 1M13-236029 ( SD06-393 ( SDX98-74151 ( IA2034 , C1954 ) , M96-71481 ) , M07-375020 ) )
1M13-250051	M06-288190	AR09-191018	( 1M13-250051 ( M06-288190 , AR09-191018 ) )
2-40A	Arksoy	-	( 2-40A ( Arksoy ( PI_35335 , - ) , - ) )
208463	AP1275	AG0801	( 208463 ( AP1275 , AG0801 ) )
210197	301	306	( 210197 ( 301 ( Crusher , Legacy ) , 306 ( Crusher , Legacy ) ) )
21028	Pioneer_P9392	Pioneer_P9321	( 21028 ( Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) , Pioneer_P9321 ) )
