Individual	Parent1	Parent2	Pedigree
G16-5967R2	G16-5923R2	-	( G16-5967R2 ( G16-5923R2 ( NCC04-619 ( N97-61 ( N90-541 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , N90-1101 ( Brim , N80-777 ) ) , TN96-64 ( N85-578 , Manokin ) ) , G09PR-54457R2 ) , - ) )
G16-8779	LG06-5920	G00-3880	( G16-8779 ( LG06-5920 ( LG00-3372 ( PI_561319 , PI_574477 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , G00-3880 ( G3-9201 , Cook ) ) )
G17-11274	G08PR-394	G00-3213	( G17-11274 ( G08PR-394 , G00-3213 ( N7001 , Boggs ) ) )
G17-11315	G08PR-394	G00-3213	( G17-11315 ( G08PR-394 , G00-3213 ( N7001 , Boggs ) ) )
G17-3336R2	N08-391	G10PR-56248R2	( G17-3336R2 ( N08-391 ( S99-1171 ( Delsoy_5500 , Anand ) , N00-370 ( AU92-916 ( N85-574 ( N77-179 ( N70-1549 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , N72-3213 ( D67-B5 ( D62-7816 , Lee ) , N64-2451 ) ) , Johnston ) , Haskell ) , N90-845 ( Brim , N80-777 ) ) ) , G10PR-56248R2 ) )
G17-3878R2	N08-521	G10PR-56466R2	( G17-3878R2 ( N08-521 ( G96-2272 ( DPL_3776 ( Asgrow_A7986 , Asgrow_A5980 ) , G86-1267 ( D76-9665 ( Forrest , Centennial ) , Braxton ) ) , N00-377 ( AU92-916 ( N85-574 ( N77-179 ( N70-1549 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , N72-3213 ( D67-B5 ( D62-7816 , Lee ) , N64-2451 ) ) , Johnston ) , Haskell ) , N90-845 ( Brim , N80-777 ) ) ) , G10PR-56466R2 ) )
G17-4801R2	N07-14182	G10PR-56248R2	( G17-4801R2 ( N07-14182 ( N7002 ( N7001 , Cook ) , Clifford ) , G10PR-56248R2 ) )
G17-6512R2	G10PR-224R2	G11-1162R2	( G17-6512R2 ( G10PR-224R2 ( G00-3213 ( N7001 , Boggs ) , NC7308A1-COYN ) , G11-1162R2 ) )
G17-7222HOLNR2	G10PR-56264R2-HOLL	-	( G17-7222HOLNR2 ( G10PR-56264R2-HOLL , - ) )
G17-7329HOLNR2	G10PR-56444R2-HOLL-A	-	( G17-7329HOLNR2 ( G10PR-56444R2-HOLL-A , - ) )
G17-7384HOLNR2	G10PR-56444R2-HOLL-B	-	( G17-7384HOLNR2 ( G10PR-56444R2-HOLL-B , - ) )
G17PR-1039HOLNR1	G06-3182RR-HOLL-B1	-	( G17PR-1039HOLNR1 ( G06-3182RR-HOLL-B1 , - ) )
G17PR-1071HOLNR1	G06-3182RR-HOLL-B4	-	( G17PR-1071HOLNR1 ( G06-3182RR-HOLL-B4 , - ) )
G18-11267	Boggs	N09-12854	( G18-11267 ( Boggs , N09-12854 ( N7103 ( NTCPR90-143 ( GaSoy17 , Vance ) , Pearl ( G80-1515 ( Pickett_71 , Bedford ) , Vance ) ) , PI_408337 ) ) )
G18-11901	Woodruff	N09-13128	( G18-11901 ( Woodruff , N09-13128 ( N7002 ( N7001 , Cook ) , Tamahakari ) ) )
G18-12061	C-Raleigh	JTN-4307	( G18-12061 ( C-Raleigh , JTN-4307 ( S97-1688 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Hartz_H5810 ) , V94-0198 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Manokin ) ) ) )
G18-12231	Woodruff	A5980	( G18-12231 ( Woodruff , A5980 ) )
G18-12382	Woodruff	G12-7199	( G18-12382 ( Woodruff , G12-7199 ) )
