Individual	Parent1	Parent2	Pedigree
HM16-M006	M10-W111	M09-W153	( HM16-M006 ( M10-W111 , M09-W153 ) )
HM16-M015	M10-W111	M09-W153	( HM16-M015 ( M10-W111 , M09-W153 ) )
HM16-M016	M10-W111	M09-W153	( HM16-M016 ( M10-W111 , M09-W153 ) )
HM16-M019	M10-W111	M09-W153	( HM16-M019 ( M10-W111 , M09-W153 ) )
HM16-W150	M11-W117	HS8-3463	( HM16-W150 ( M11-W117 , HS8-3463 ) )
HM16-W192	SG0-717	M10-W295	( HM16-W192 ( SG0-717 , M10-W295 ) )
HM16-W248	HS8-3672	M09-W153	( HM16-W248 ( HS8-3672 , M09-W153 ) )
HM17-01057	M11-W274	HS8W-179	( HM17-01057 ( M11-W274 , HS8W-179 ) )
HM17-02244	M09-W153	HS8-3463	( HM17-02244 ( M09-W153 , HS8-3463 ) )
HM17-02293	M09-W153	HS8-3463	( HM17-02293 ( M09-W153 , HS8-3463 ) )
HM17-02297	M09-W153	HS8-3463	( HM17-02297 ( M09-W153 , HS8-3463 ) )
HM17-06107	M09-W158	M10-W111	( HM17-06107 ( M09-W158 , M10-W111 ) )
HM17-06108	M09-W158	M10-W111	( HM17-06108 ( M09-W158 , M10-W111 ) )
HM17-06255	M11-M055	M09-W122	( HM17-06255 ( M11-M055 , M09-W122 ) )
HM17-08202	Summit	M10-W111	( HM17-08202 ( Summit ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , HS99-4045 ) , M10-W111 ) )
HM17-08203	Summit	M10-W111	( HM17-08203 ( Summit ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , HS99-4045 ) , M10-W111 ) )
HM17-09043	M09-W153	M10-W111	( HM17-09043 ( M09-W153 , M10-W111 ) )
HM17-10253	Clermont	M11-1039	( HM17-10253 ( Clermont ( HS1-3641 ( HS94-9053 ( Pioneer_P9268-03 , Vertex ( Conrad , Hayes ) ) , Kottman ) , HS1-7116 ) , M11-1039 ) )
