Individual	Parent1	Parent2	Pedigree
A73-23066	IVR_Ex4428	Md66-1258	( A73-23066 ( IVR_Ex4428 ( Corsoy , Wayne ) , Md66-1258 ) )
A73-25088	M59-120	IVR_4731	( A73-25088 ( M59-120 ( M54-240 ( Korean , M42-37 ) , M54-139 ( Renville , Capital ) ) , IVR_4731 ( Amsoy , Wayne ) ) )
A73D16	Hark	Wayne	( A73D16 ( Hark , Wayne ) )
A74-102011	M62-263	IVR_Ex4426	( A74-102011 ( M62-263 ( Grant , M319W ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Hawkeye ) ) , IVR_Ex4426 ( Amsoy , Wayne ) ) )
A74-102037	Wells	Wye	( A74-102037 ( Wells , Wye ) )
A74-104030	Pike	Wells	( A74-104030 ( Pike , Wells ) )
A74-104034	Pike	Beeson	( A74-104034 ( Pike , Beeson ) )
A74-105021	L66L-137	Calland	( A74-105021 ( L66L-137 ( Wayne , L57-0034 ( Clark , Adams ) ) , Calland ) )
A74-202019	Beeson	L66-1359	( A74-202019 ( Beeson , L66-1359 ( Wayne , L57-0034 ( Clark , Adams ) ) ) )
A74-203002	M59-120	IVR_4731	( A74-203002 ( M59-120 ( M54-240 ( Korean , M42-37 ) , M54-139 ( Renville , Capital ) ) , IVR_4731 ( Amsoy , Wayne ) ) )
A74-204028	Corsoy	Williams	( A74-204028 ( Corsoy , Williams ) )
A74-204033	Beeson	L66-1359	( A74-204033 ( Beeson , L66-1359 ( Wayne , L57-0034 ( Clark , Adams ) ) ) )
A74-204034	M62-263	Amsoy_71	( A74-204034 ( M62-263 ( Grant , M319W ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Hawkeye ) ) , Amsoy_71 ) )
A74-302030	M62-263	IVR_Ex4426	( A74-302030 ( M62-263 ( Grant , M319W ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Hawkeye ) ) , IVR_Ex4426 ( Amsoy , Wayne ) ) )
A74-303013	L66L-137	Calland	( A74-303013 ( L66L-137 ( Wayne , L57-0034 ( Clark , Adams ) ) , Calland ) )
A74-304009	Pike	L66L-144	( A74-304009 ( Pike , L66L-144 ( Wayne , L57-0034 ( Clark , Adams ) ) ) )
A74-304031	Wells	Wye	( A74-304031 ( Wells , Wye ) )
A74-306002	Evans	Williams	( A74-306002 ( Evans , Williams ) )
A74-306008	M62-275	L66L-144	( A74-306008 ( M62-275 ( Norchief , Harosoy ) , L66L-144 ( Wayne , L57-0034 ( Clark , Adams ) ) ) )
A75-101014	Pike	Wells	( A75-101014 ( Pike , Wells ) )
A75-101022	Pike	Wells	( A75-101022 ( Pike , Wells ) )
A75-103019	AP6	-	( A75-103019 ( AP6 , - ) )
A75-203014	IVR_4731	Wirth	( A75-203014 ( IVR_4731 ( Amsoy , Wayne ) , Wirth ) )
A75-203036	IVR_Ex4428	Woodworth	( A75-203036 ( IVR_Ex4428 ( Corsoy , Wayne ) , Woodworth ) )
A75-204018	IVR_4731	Wirth	( A75-204018 ( IVR_4731 ( Amsoy , Wayne ) , Wirth ) )
A75-302003	L15	AP68-1016	( A75-302003 ( L15 , AP68-1016 ) )
A75-302017	Woodworth	Calland	( A75-302017 ( Woodworth , Calland ) )
A75-305010	AP6	-	( A75-305010 ( AP6 , - ) )
A75-305022	Wye	IVR_4731	( A75-305022 ( Wye , IVR_4731 ( Amsoy , Wayne ) ) )
A75-305031	Corsoy	Williams	( A75-305031 ( Corsoy , Williams ) )
A75-306005	Pike	SL12	( A75-306005 ( Pike , SL12 ) )
A75D29	Hark	L61-344	( A75D29 ( Hark , L61-344 ) )
A76-101019	AP6	-	( A76-101019 ( AP6 , - ) )
A76-101024	AP6	-	( A76-101024 ( AP6 , - ) )
A76-102013	AP6	-	( A76-102013 ( AP6 , - ) )
A76-103002	AP6	-	( A76-103002 ( AP6 , - ) )
A76-103003	AP6	-	( A76-103003 ( AP6 , - ) )
A76-201009	AP6	-	( A76-201009 ( AP6 , - ) )
A76-201010	AP6	-	( A76-201010 ( AP6 , - ) )
A76-202015	AP6	-	( A76-202015 ( AP6 , - ) )
A76-303035	M60-92	IVR_Ex4428	( A76-303035 ( M60-92 ( Comet , M319 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Hawkeye ) ) , IVR_Ex4428 ( Corsoy , Wayne ) ) )
A76-304002	AP6	-	( A76-304002 ( AP6 , - ) )
A77-112008	Washington	A72-512	( A77-112008 ( Washington ( Mitchell ( Amsoy , Wayne ) , Cutler_71 ) , A72-512 ( Amsoy , Wayne ) ) )
A77-211021	Beeson	A72-507	( A77-211021 ( Beeson , A72-507 ( Amsoy , Wayne ) ) )
A77-212006	Hodgson	M65-69	( A77-212006 ( Hodgson , M65-69 ( M384 , Corsoy ) ) )
A77-214022	L70T-543	Harcor	( A77-214022 ( L70T-543 ( L15 , Amsoy_71 ) , Harcor ) )
A77-214035	AP6	-	( A77-214035 ( AP6 , - ) )
A77-311031	AP6	-	( A77-311031 ( AP6 , - ) )
A77-314013	A73-21030	Williams	( A77-314013 ( A73-21030 , Williams ) )
A77-314014	Coles	A72-507	( A77-314014 ( Coles , A72-507 ( Amsoy , Wayne ) ) )
