Individual	Parent1	Parent2	Pedigree
CR17-3780	U092-15057	LG09-7161	( CR17-3780 ( U092-15057 , LG09-7161 ) )
CR17-3841	LG09-7871	LG09-7341	( CR17-3841 ( LG09-7871 , LG09-7341 ) )
CR17-3842	LG09-7871	LG09-7341	( CR17-3842 ( LG09-7871 , LG09-7341 ) )
CR17-3913	LG09-7167	LG10-1562	( CR17-3913 ( LG09-7167 ( LG00-3372 ( PI_561319 , PI_574477 ) , HC99-2763 ( DPL_3478 , Stressland ) ) , LG10-1562 ( LG00-6925 ( IA2022 , LG91-6859 ( LG87-429 ( PI_297544 , PI_290126_B ) , Zane ) ) , LG03-1614 ( LG96-1488 ( LG89-8665 ( PI_436682 , Ripley ) , LG88-2696 ( Ripley , PI_370059 ) ) , LG97-7363 ( LG90-2179 ( PI_437851_A , Ripley ) , LG88-3146 ( PI_427099 , PI_445830 ) ) ) ) ) )
CR17-3964	LG07-2309	WN0800527	( CR17-3964 ( LG07-2309 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG01-7728 ) , WN0800527 ) )
CR17-4046	LG07-4722	LD07-4477	( CR17-4046 ( LG07-4722 ( PI_507807 , Williams_82 ) , LD07-4477 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) ) )
CR17-4112	LG09-7431	LG10-3250	( CR17-4112 ( LG09-7431 ( LG00-8298 ( PI_574477 , PI_561377 ) , Golden_Harvest_H2885 ) , LG10-3250 ( LG03-1672 ( LG97-5474 ( Pioneer_P6906-16 , Pioneer_P5096-03D ) , IA3010 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) ) )
CR17-4386	LG10-2699	LG09-7163	( CR17-4386 ( LG10-2699 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG03-3020 ( LG96-1711 ( LG88-3146 ( PI_427099 , PI_445830 ) , LG88-2248 ( PI_438151 , A78-123018 ( Pride_B216 ( Corsoy , Wayne ) , Hodgson ) ) ) , LG92-4208 ( LG84-1269 ( PI_227333 , PI_91730_-1 ) , Chamberlain ) ) ) , LG09-7163 ( LG00-3372 ( PI_561319 , PI_574477 ) , HC99-2763 ( DPL_3478 , Stressland ) ) ) )
CR17-4388	LG10-2699	LG09-7163	( CR17-4388 ( LG10-2699 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG03-3020 ( LG96-1711 ( LG88-3146 ( PI_427099 , PI_445830 ) , LG88-2248 ( PI_438151 , A78-123018 ( Pride_B216 ( Corsoy , Wayne ) , Hodgson ) ) ) , LG92-4208 ( LG84-1269 ( PI_227333 , PI_91730_-1 ) , Chamberlain ) ) ) , LG09-7163 ( LG00-3372 ( PI_561319 , PI_574477 ) , HC99-2763 ( DPL_3478 , Stressland ) ) ) )
CR17-4545	LG10-2699	LG09-7163	( CR17-4545 ( LG10-2699 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG03-3020 ( LG96-1711 ( LG88-3146 ( PI_427099 , PI_445830 ) , LG88-2248 ( PI_438151 , A78-123018 ( Pride_B216 ( Corsoy , Wayne ) , Hodgson ) ) ) , LG92-4208 ( LG84-1269 ( PI_227333 , PI_91730_-1 ) , Chamberlain ) ) ) , LG09-7163 ( LG00-3372 ( PI_561319 , PI_574477 ) , HC99-2763 ( DPL_3478 , Stressland ) ) ) )
